"Name","Smith","Gender","Country","Occupation","Birth year","Death year","Age",""
"J.Â R.Â R. Tolkien","Smith","Male","United Kingdom","Researcher","1892","1973","81",""
"Franz Kafka","Smith","Male","Austria-Hungary; Czechoslovakia","Artist","1883","1924","41",""
"Jorge Luis Borges","Smith","Male","Argentina","Researcher","1899","1986","87",""
"Socrates","Smith","Male","Classical Athens","Philosopher","-470","-399","71",""
"J. Bernlef","Smith","Male","Kingdom of the Netherlands","Artist","1937","2012","75",""
"Roald Amundsen","Smith","Male","Norway","Researcher","1872","1928","56",""
"Harry Mulisch","Smith","Male","Kingdom of the Netherlands","Artist","1927","2010","83",""
"Konstantin Melnikov","Smith","Male","Soviet Union; Russian Empire","Artist","1890","1974","84",""
"Isaac Newton","Smith","Male","Kingdom of Great Britain; Kingdom of England","Researcher","1642","1727","85",""
"Albert Einstein","Smith","Male","United States of America; Switzerland; Austria-Hungary; Weimar Republic; German Empire","Researcher","1879","1955","76",""
"Pedro I of Brazil","Smith","Male","Kingdom of Portugal; Empire of Brazil","Artist","1798","1834","36",""
"John Bardeen","Smith","Male","United States of America","Researcher","1908","1991","83",""
"Miles Franklin","Smith","Female","Austria; Australia","Artist","1879","1954","75",""
"John Paul II","Smith","Male","Poland","Researcher","1920","2005","85",""
"Fyodor Dostoyevsky","Smith","Male","Russian Empire","Artist","1821","1881","60",""
"Andrei Sakharov","Smith","Male","Soviet Union; Russian Soviet Federative Socialist Republic","Researcher","1921","1989","68",""
"Mahatma Gandhi","Smith","Male","British Raj; Dominion of India","Artist","1869","1948","79",""
"France PreÅ¡eren","Smith","Male","Austrian Empire; Illyrian Provinces","Artist","1800","1849","49",""
"Charles Darwin","Smith","Male","United Kingdom of Great Britain and Ireland","Researcher","1809","1882","73",""
"Carl Linnaeus","Smith","Male","Sweden","Researcher","1707","1778","71",""
"Ivan Regen","Smith","Male","Austria-Hungary","Researcher","1868","1947","79",""
"Italo Balbo","Smith","Male","Kingdom of Italy","Politician","1896","1940","44",""
"Alessandro Manzoni","Smith","Male","Kingdom of Sardinia; Kingdom of Italy","Artist","1785","1873","88",""
"Dante Alighieri","Smith","Male","Republic of Florence","Artist","1265","1321","56",""
"Jean-Philippe Rameau","Smith","Male","Kingdom of France","Artist","1683","1764","81",""
"Indira Gandhi","Smith","Female","India; British Raj","Politician","1917","1984","67",""
"Hector Berlioz","Smith","Male","France","Artist","1803","1869","66",""
"Maurice Ravel","Smith","Male","France","Artist","1875","1937","62",""
"Jean-Baptiste Lully","Smith","Male","Kingdom of France; Grand Duchy of Tuscany","Artist","1632","1687","55",""
"John Lennon","Smith","Male","United Kingdom","Artist","1940","1980","40",""
"Hubert Salentin","Smith","Male","German Empire","Artist","1822","1910","88",""
"Carlo Azeglio Ciampi","Smith","Male","Italy; Kingdom of Italy","Politician","1920","2016","96",""
"Oscar Luigi Scalfaro","Smith","Male","Italy; Kingdom of Italy","Politician","1918","2012","94",""
"Francesco Cossiga","Smith","Male","Italy; Kingdom of Italy","Politician","1928","2010","82",""
"Sandro Pertini","Smith","Male","Italy; Kingdom of Italy","Politician","1896","1990","94",""
"Giovanni Leone","Smith","Male","Italy; Kingdom of Italy","Politician","1908","2001","93",""
"Giuseppe Saragat","Smith","Male","Italy; Kingdom of Italy","Politician","1898","1988","90",""
"Antonio Segni","Smith","Male","Italy; Kingdom of Italy","Politician","1891","1972","81",""
"Giovanni Gronchi","Smith","Male","Italy; Kingdom of Italy","Politician","1887","1978","91",""
"Luigi Einaudi","Smith","Male","Italy; Kingdom of Italy","Researcher","1874","1961","87",""
"Enrico de Nicola","Smith","Male","Italy; Kingdom of Italy","Politician","1877","1959","82",""
"Kofi Annan","Smith","Male","Ghana","Politician","1938","2018","80",""
"Boutros Boutros-Ghali","Smith","Male","Egypt","Artist","1922","2016","94",""
"Kurt Waldheim","Smith","Male","Austria; Nazi Germany; Federal State of Austria; Republic of German-Austria; First Republic of Austria","Politician","1918","2007","89",""
"Dag HammarskjÃ¶ld","Smith","Male","Sweden","Artist","1905","1961","56",""
"FrÃ©dÃ©ric Chopin","Smith","Male","Poland","Artist","1810","1849","39",""
"Trygve Lie","Smith","Male","Norway","Politician","1896","1968","72",""
"Gladwyn Jebb","Smith","Male","United Kingdom; United Kingdom of Great Britain and Ireland","Politician","1900","1996","96",""
"Leonard Cohen","Smith","Male","Canada","Artist","1934","2016","82",""
"Blaise Pascal","Smith","Male","Kingdom of France","Researcher","1623","1662","39",""
"RamÃ³n Barros Luco","Smith","Male","Chile","Politician","1835","1919","84",""
"Pedro Montt","Smith","Male","Chile","Politician","1849","1910","61",""
"GermÃ¡n Riesco","Smith","Male","Chile","Politician","1854","1916","62",""
"Saddam Hussein","Smith","Male","Iraq","Politician","1937","2006","69",""
"Osama bin Laden","Smith","Male","Saudi Arabia; statelessness","Businessperson","1957","2011","54",""
"AnÃ­bal ZaÃ±artu","Smith","Male","Chile","Politician","1847","1902","55",""
"Federico ErrÃ¡zuriz Echaurren","Smith","Male","Chile","Politician","1850","1901","51",""
"Jorge Montt","Smith","Male","Chile","Politician","1845","1922","77",""
"JosÃ© Manuel Balmaceda","Smith","Male","Chile","Politician","1840","1891","51",""
"Domingo Santa MarÃ­a","Smith","Male","Chile","Researcher","1825","1889","64",""
"AnÃ­bal Pinto","Smith","Male","Chile","Politician","1825","1884","59",""
"Friedrich Hayek","Smith","Male","Austria; United Kingdom","Researcher","1899","1992","93",""
"Federico ErrÃ¡zuriz ZaÃ±artu","Smith","Male","Chile","Politician","1825","1877","52",""
"JosÃ© JoaquÃ­n PÃ©rez","Smith","Male","Chile","Politician","1801","1889","88",""
"Manuel Montt","Smith","Male","Chile","Politician","1809","1880","71",""
"Manuel Bulnes","Smith","Male","Chile","Politician","1799","1866","67",""
"JosÃ© JoaquÃ­n Prieto","Smith","Male","Chile","Politician","1786","1854","68",""
"Manuel Blanco Encalada","Smith","Male","Argentina","Politician","1790","1876","86",""
"RamÃ³n Freire","Smith","Male","Chile","Politician","1787","1851","64",""
"Francisco Antonio Pinto","Smith","Male","Chile","Politician","1785","1858","73",""
"Johann Sebastian Bach","Smith","Male","Holy Roman Empire; Saxe-Eisenach","Artist","1685","1750","65",""
"Antonio Vivaldi","Smith","Male","Republic of Venice","Artist","1678","1741","63",""
"Dave Arneson","Smith","Male","United States of America","Game designer; role-playing game designer","1947","2009","62",""
"Vladimir Lenin","Smith","Male","Russian Soviet Federative Socialist Republic; Soviet Union; Russian Empire","Politician","1870","1924","54",""
"NiccolÃ² Machiavelli","Smith","Male","Republic of Florence","Researcher","1469","1527","58",""
"Petrarch","Smith","Male","","Artist","1304","1374","70",""
"Giovanni Boccaccio","Smith","Male","","Artist","1313","1375","62",""
"Luigi Pirandello","Smith","Male","Kingdom of Italy","Artist","1867","1936","69",""
"Ferdinand Marcos","Smith","Male","Philippines","Politician","1917","1989","72",""
